Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3,motor_torq_1,motor_torq_2,motor_torq_3
51918436,-0.0034,-0.0027,-0.0370,-0.0394,-0.1171,0.0849,0.0167,-0.1152,-0.0002,-0.0002,-0.0368,-0.0386,-0.0049,-0.0088,0.0021,6.9818,17.3980,-2.7211,-0.0168,0.0015,-0.0030
51921994,-0.0035,-0.0027,0.0174,0.0480,-0.0918,0.0564,-0.0098,-0.0572,-0.0002,-0.0002,-0.0028,0.0322,0.1891,0.0652,-0.1373,6.9842,17.3982,-2.7212,-0.0001,-0.0007,-0.0025
51926994,-0.0035,-0.0027,0.0156,0.0348,-0.0710,0.0597,-0.0036,-0.0643,-0.0006,-0.0006,-0.0741,-0.0599,1.1258,0.7386,-0.4813,6.9881,17.4018,-2.7230,0.0263,0.0033,-0.0176
51931994,-0.0036,-0.0027,0.0021,0.0421,-0.0853,0.0692,-0.0120,-0.0671,-0.0021,-0.0021,-0.2946,-0.1622,2.1196,0.1291,-2.4982,7.0013,17.4023,-2.7364,0.0566,-0.0013,-0.0496
51936994,-0.0035,-0.0026,0.0400,0.0535,-0.1156,0.0443,-0.0079,-0.0498,-0.0028,-0.0028,-0.1582,-0.0562,1.3237,-0.1789,-1.5877,7.0068,17.4013,-2.7434,0.0680,-0.0082,-0.0775
51941994,-0.0033,-0.0023,0.0596,0.1158,-0.1012,0.0294,-0.0363,-0.0049,-0.0031,-0.0031,-0.0472,0.1436,0.5788,-0.7893,-0.4309,7.0105,17.3982,-2.7464,0.0669,-0.0053,-0.0742
51946994,-0.0029,-0.0017,0.1014,0.1512,-0.0969,-0.0011,-0.0482,0.0381,-0.0028,-0.0028,0.0567,0.2175,0.0366,-0.8886,-0.0354,7.0105,17.3935,-2.7464,0.0345,-0.0079,-0.0464
51951994,-0.0025,-0.0011,0.1100,0.1491,-0.0921,-0.0135,-0.0520,0.0548,-0.0025,-0.0025,0.0553,0.3322,-0.2463,-2.0343,0.3221,7.0095,17.3861,-2.7453,0.0280,-0.0298,-0.0055
51956994,-0.0020,-0.0006,0.0718,0.1335,-0.0985,-0.0045,-0.0584,0.0516,-0.0019,-0.0019,0.1252,0.3694,-0.9257,-1.8489,1.1858,7.0058,17.3711,-2.7403,-0.0041,-0.0557,0.0111
51961994,-0.0016,-0.0004,0.0858,0.0724,0.0035,-0.0169,-0.0192,0.0366,-0.0002,-0.0002,0.3316,0.3104,-1.5050,-0.2988,2.7615,6.9965,17.3700,-2.7245,-0.0020,-0.0694,0.0417
