Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3,motor_torq_1,motor_torq_2,motor_torq_3
83369437,0.0436,-0.0166,-0.0379,0.0238,0.0301,-0.2300,0.2300,0.1508,-0.0002,-0.0002,-0.0389,0.0225,0.0064,0.0042,-0.0135,18.5408,-6.1609,-17.6574,-0.1324,0.0660,-0.0053
83371994,0.0437,-0.0166,-0.0357,0.0266,0.0359,-0.2300,0.2300,0.1531,-0.0003,-0.0003,-0.0326,0.0294,-0.0233,-0.0065,0.0296,18.5407,-6.1609,-17.6571,0.0002,0.0000,0.0003
83376994,0.0437,-0.0165,-0.0403,0.0211,0.0411,-0.2300,0.2300,0.1521,-0.0002,-0.0002,0.0285,0.0179,-0.5745,0.2120,0.1683,18.5387,-6.1603,-17.6568,-0.0293,0.0304,0.0306
83381994,0.0438,-0.0165,-0.0199,0.0284,0.0329,-0.2300,0.2300,0.1611,0.0013,0.0013,0.2813,-0.0612,-1.5984,2.3257,1.2072,18.5325,-6.1483,-17.6513,-0.0553,0.0463,0.0480
83386994,0.0437,-0.0163,-0.0159,0.0058,0.0197,-0.2300,0.2300,0.1550,0.0029,0.0029,0.3279,-0.0121,-1.6607,2.2752,2.0923,18.5213,-6.1385,-17.6428,-0.1083,0.1025,0.0880
83391994,0.0435,-0.0165,-0.0794,0.0046,-0.0533,-0.2300,0.2300,0.1332,0.0040,0.0040,0.2276,0.0535,-1.1757,1.9188,2.6079,18.5176,-6.1272,-17.6269,-0.1323,0.1270,0.1358
83396994,0.0431,-0.0165,-0.1319,0.0058,-0.1544,-0.2300,0.2300,0.1125,0.0051,0.0051,0.2096,0.0333,-0.9973,2.6164,3.0516,18.5107,-6.1168,-17.6146,-0.1657,0.1597,0.1473
83401994,0.0420,-0.0167,-0.2584,-0.0195,-0.2072,-0.2300,0.2300,0.0567,0.0057,0.0057,0.1222,-0.1124,-0.9334,3.8861,2.7894,18.5073,-6.0946,-17.5975,-0.2080,0.1989,0.1262
83406994,0.0406,-0.0168,-0.3198,-0.0397,-0.2032,-0.2300,0.2300,0.0174,0.0062,0.0062,0.0979,-0.1873,-0.8369,4.7467,2.9596,18.5037,-6.0756,-17.5856,-0.2287,0.2193,0.0931
83411994,0.0390,-0.0172,-0.3470,-0.0278,-0.2717,-0.2300,0.2300,-0.0105,0.0068,0.0068,0.1142,-0.3000,-0.8421,6.0283,2.6489,18.5003,-6.0410,-17.5690,-0.2334,0.2193,0.0746
83416994,0.0372,-0.0175,-0.3778,0.0156,-0.3007,-0.2300,0.2300,-0.0232,0.0071,0.0071,0.0670,-0.3419,-0.4471,6.7916,2.3217,18.4981,-6.0137,-17.5596,-0.2291,0.2236,0.0332
83421994,0.0353,-0.0175,-0.4081,0.0394,-0.3114,-0.2300,0.2300,-0.0422,0.0075,0.0075,0.0882,-0.4205,-0.8023,7.6704,1.8783,18.4952,-5.9684,-17.5477,-0.2281,0.2193,-0.0065
83426994,0.0331,-0.0173,-0.4664,0.0519,-0.3275,-0.2300,0.2300,-0.0687,0.0078,0.0078,0.0493,-0.4787,-1.1879,7.9588,1.2395,18.4886,-5.9365,-17.5427,-0.2273,0.2258,-0.0215
83431994,0.0305,-0.0173,-0.5009,0.0486,-0.3083,-0.2300,0.2300,-0.1041,0.0079,0.0079,0.0255,-0.5387,-1.4421,8.1929,0.7302,18.4828,-5.8877,-17.5379,-0.2270,0.2229,-0.0467
83436994,0.0277,-0.0170,-0.5278,0.1035,-0.2411,-0.2300,0.2300,-0.1090,0.0081,0.0081,0.0336,-0.5465,-1.8565,8.5747,0.2913,18.4723,-5.8533,-17.5368,-0.2278,0.2280,-0.0817
83441994,0.0248,-0.0164,-0.5403,0.1478,-0.2503,-0.2300,0.2300,-0.1122,0.0083,0.0083,0.0422,-0.5608,-2.2135,8.8314,-0.2187,18.4636,-5.8002,-17.5377,-0.2275,0.2258,-0.1033
83446994,0.0220,-0.0156,-0.5589,0.2034,-0.2139,-0.1956,0.2300,-0.1081,0.0086,0.0086,0.0620,-0.5194,-2.7089,8.8574,-0.3880,18.4481,-5.7648,-17.5392,-0.2263,0.2320,-0.1089
83451994,0.0192,-0.0147,-0.6066,0.2382,-0.1376,-0.1132,0.2116,-0.1144,0.0087,0.0087,0.0293,-0.5177,-2.9926,8.9532,-0.7277,18.4386,-5.7111,-17.5436,-0.2226,0.2253,-0.1049
83456994,0.0160,-0.0134,-0.6802,0.2810,-0.0902,-0.0133,0.1255,-0.1226,0.0083,0.0083,-0.0893,-0.4486,-2.9573,8.3185,-1.0355,18.4171,-5.6775,-17.5479,-0.1926,0.2303,-0.1084
