Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3,motor_torq_1,motor_torq_2,motor_torq_3
26780436,0.0056,-0.0641,-0.0034,0.0244,0.0368,-0.1088,0.2300,-0.2300,-0.0000,-0.0000,-0.0030,0.0251,-0.0070,-0.0078,0.0002,3.6411,12.9016,0.3943,0.0812,0.1835,-0.1391
26781994,0.0055,-0.0639,-0.0049,0.0220,0.0307,-0.1059,0.2300,-0.2300,-0.0000,-0.0000,-0.0070,0.0209,0.0124,-0.0041,-0.0180,3.6412,12.9017,0.3943,-0.0005,-0.0000,-0.0002
26786995,0.0054,-0.0637,-0.0018,0.0144,0.0329,-0.1054,0.2300,-0.2300,0.0001,0.0001,0.0239,-0.0085,-0.2787,0.1493,-0.1450,3.6404,12.9021,0.3939,-0.0254,0.0106,-0.0162
26791994,0.0053,-0.0636,0.0137,-0.0006,0.0503,-0.1135,0.2300,-0.2300,0.0008,0.0008,0.1431,-0.2062,-1.0464,1.7122,-0.9316,3.6367,12.9110,0.3901,-0.0655,0.0451,-0.0523
26796994,0.0053,-0.0637,0.0144,-0.0202,0.0924,-0.1111,0.2300,-0.2300,0.0015,0.0015,0.1353,-0.3118,-1.3392,1.8554,-1.8975,3.6290,12.9191,0.3794,-0.0893,0.0968,-0.0961
26801994,0.0056,-0.0638,0.0015,-0.0003,0.1172,-0.1084,0.2300,-0.2300,0.0019,0.0019,0.0919,-0.2666,-1.4688,1.1966,-2.2325,3.6230,12.9272,0.3708,-0.1115,0.1222,-0.1224
26806994,0.0056,-0.0637,-0.0525,0.0382,0.1666,-0.0768,0.2300,-0.2300,0.0019,0.0019,-0.0104,-0.3059,-1.4554,1.1488,-3.2841,3.6140,12.9318,0.3526,-0.1097,0.1632,-0.1619
26811994,0.0055,-0.0634,-0.0611,0.0941,0.2088,-0.0680,0.2300,-0.2300,0.0018,0.0018,-0.0202,-0.3161,-1.5588,1.4480,-3.8352,3.6076,12.9399,0.3404,-0.0987,0.2006,-0.1821
26816996,0.0050,-0.0624,-0.1048,0.1836,0.2155,-0.0340,0.2300,-0.2300,0.0011,0.0011,-0.1392,-0.3452,-1.1819,1.7353,-5.0732,3.6001,12.9468,0.3079,-0.0692,0.2275,-0.2153
26821995,0.0047,-0.0615,-0.1002,0.2285,0.1889,-0.0308,0.2300,-0.2300,0.0002,0.0002,-0.1769,-0.4655,-1.1890,2.2982,-6.6350,3.5954,12.9558,0.2814,-0.0446,0.2234,-0.2151
26826994,0.0040,-0.0602,-0.1100,0.2749,0.1645,-0.0133,0.2300,-0.2300,-0.0009,-0.0009,-0.2137,-0.6576,-1.0448,3.6731,-8.3266,3.5885,12.9762,0.2333,-0.0314,0.2196,-0.2137
26831994,0.0036,-0.0587,-0.1246,0.2859,0.2076,0.0044,0.2300,-0.2300,-0.0017,-0.0017,-0.1618,-0.8551,-1.2122,5.6115,-9.0667,3.5837,13.0074,0.1970,-0.0152,0.2160,-0.2236
26836994,0.0034,-0.0573,-0.1087,0.3057,0.2659,0.0028,0.2300,-0.2300,-0.0023,-0.0023,-0.1345,-1.0212,-1.0629,7.0994,-9.9683,3.5770,13.0357,0.1384,-0.0103,0.2089,-0.2183
26841994,0.0030,-0.0557,-0.1158,0.3641,0.2512,0.0145,0.2300,-0.2300,-0.0031,-0.0031,-0.1452,-1.1756,-0.5142,9.0081,-10.7915,3.5753,13.0880,0.1042,-0.0003,0.2126,-0.2221
26846994,0.0022,-0.0541,-0.1613,0.3845,0.1764,0.0520,0.2300,-0.2300,-0.0046,-0.0046,-0.3097,-1.3833,-0.0368,9.6020,-13.1315,3.5746,13.1266,0.0173,0.0115,0.2135,-0.2106
26851994,0.0016,-0.0521,-0.1866,0.4267,0.1443,0.0781,0.2300,-0.2300,-0.0062,-0.0062,-0.3092,-1.3702,-0.1150,10.0091,-13.0977,3.5743,13.1665,-0.0360,0.0368,0.2232,-0.2282
26856994,0.0007,-0.0500,-0.1671,0.4539,0.1712,0.0850,0.2300,-0.2300,-0.0075,-0.0075,-0.2637,-1.3938,0.6377,11.4321,-12.3257,3.5765,13.2329,-0.1108,0.0559,0.2192,-0.2340
26861994,-0.0001,-0.0475,-0.1408,0.5027,0.2115,0.0874,0.2300,-0.2300,-0.0078,-0.0078,-0.0705,-1.3249,0.5835,13.1722,-10.3277,3.5790,13.3100,-0.1526,0.0853,0.2115,-0.2547
26866994,-0.0002,-0.0450,-0.0021,0.5107,0.2598,0.0132,0.2300,-0.2300,-0.0057,-0.0057,0.4242,-1.2278,0.1130,16.2030,-6.1511,3.5814,13.3741,-0.1947,0.0901,0.1914,-0.2638
26871994,0.0005,-0.0423,0.1536,0.5638,0.3444,-0.0850,0.2300,-0.2300,-0.0010,-0.0010,0.9386,-1.5222,-0.1534,22.2650,-4.5532,3.5807,13.5006,-0.2080,0.0824,0.1867,-0.2586
26876994,0.0019,-0.0391,0.3070,0.6243,0.3270,-0.2012,0.2300,-0.2300,0.0063,0.0063,1.4564,-1.7851,-1.0391,27.5692,-3.3925,3.5754,13.6102,-0.2314,0.0435,0.1698,-0.2443
26881994,0.0039,-0.0364,0.4160,0.5537,0.4021,-0.2300,0.2300,-0.2075,0.0157,0.0157,1.8895,-2.3104,-2.0970,33.0595,-3.7242,3.5670,13.8064,-0.2458,0.0042,0.1788,-0.2259
26886994,0.0052,-0.0343,0.2190,0.4139,0.1831,-0.2253,0.2300,-0.2300,0.0239,0.0239,1.6390,-2.4101,-3.5670,30.6407,-5.6248,3.5470,13.9302,-0.2722,-0.0155,0.2364,-0.1943
26891994,0.0070,-0.0316,0.3180,0.5754,-0.0475,-0.2300,0.2300,-0.1276,0.0325,0.0325,1.7144,-2.4880,-3.6215,31.8254,-7.5068,3.5310,14.1173,-0.3163,-0.0797,0.2281,-0.1965
26896996,0.0083,-0.0287,0.3012,0.5828,0.2986,-0.2300,0.2300,-0.0526,0.0397,0.0397,1.4366,-2.3901,-1.9328,29.9886,-8.1705,3.5199,14.2386,-0.3485,-0.1020,0.2371,-0.2005
26901994,0.0088,-0.0248,0.1258,0.7990,0.1566,-0.2300,0.1952,0.0669,0.0436,0.0436,0.7928,-2.3869,-1.0645,26.9225,-14.0008,3.5157,14.3991,-0.4240,-0.1439,0.2341,-0.1244
26906994,0.0096,-0.0215,0.1362,0.7098,-0.1770,-0.2300,0.1779,0.0789,0.0469,0.0469,0.6614,-2.4565,-1.6697,24.5674,-16.1205,3.5079,14.4991,-0.4901,-0.1685,0.2434,-0.1253
26911994,0.0095,-0.0177,-0.0690,0.8070,-0.1953,-0.1610,0.0036,0.1347,0.0485,0.0485,0.3198,-2.0672,-2.0772,20.7376,-16.2109,3.4996,14.5816,-0.5856,-0.2092,0.2313,-0.1022
26916994,0.0091,-0.0136,-0.0950,0.7902,-0.2295,-0.1386,-0.0733,0.1853,0.0488,0.0488,0.0435,-1.8297,-3.0418,15.3224,-18.3877,3.4827,14.6800,-0.6587,-0.2119,0.2105,-0.0413
26921994,0.0076,-0.0095,-0.3060,0.7892,-0.3740,0.0030,-0.2246,0.1782,0.0464,0.0464,-0.4684,-1.3736,-1.9714,10.1066,-17.7329,3.4739,14.7452,-0.7718,-0.1911,0.1950,-0.0498
26926994,0.0068,-0.0054,-0.1347,0.8433,-0.0679,-0.0629,-0.2300,0.2300,0.0450,0.0450,-0.2723,-0.8634,-1.0107,8.4256,-13.5365,3.4690,14.7789,-0.8261,-0.1678,0.1298,-0.0520
26931994,0.0052,-0.0016,-0.3192,0.8085,0.0442,0.0740,-0.2300,0.2300,0.0439,0.0439,-0.2249,-0.0274,-1.1110,5.3129,-5.4373,3.4648,14.8145,-0.8700,-0.1149,0.0892,-0.0415
26936995,0.0041,0.0030,-0.2437,0.9740,-0.0866,0.0473,-0.2300,0.2300,0.0440,0.0440,0.0127,0.7326,-1.0280,3.3741,0.2744,3.4600,14.8279,-0.8677,-0.0681,0.0384,-0.0136
26941995,0.0022,0.0076,-0.3503,0.9505,-0.1226,0.1417,-0.2300,0.2300,0.0439,0.0439,-0.0189,1.1574,-1.1283,1.2202,3.8839,3.4550,14.8369,-0.8465,-0.0306,0.0121,0.0628
26946994,0.0009,0.0126,-0.3073,0.9713,-0.1999,0.1439,-0.2300,0.2300,0.0430,0.0430,-0.1765,1.2256,0.1585,-0.0364,3.2346,3.4533,14.8373,-0.8326,-0.0141,-0.0285,0.1417
26951994,-0.0015,0.0169,-0.4649,0.8347,-0.2655,0.2300,-0.2300,0.2300,0.0406,0.0406,-0.4892,1.1375,1.0134,-1.2184,2.6735,3.4577,14.8269,-0.8169,0.0229,-0.0472,0.1641
