time, vel, T_target, T_estimate
0.000,0.000000,0.000000,0.000835
0.001,0.000000,0.000000,-0.000255
0.002,0.000000,0.000000,-0.000255
0.003,0.000000,0.000000,-0.000010
0.004,0.000000,0.000000,-0.000010
0.005,0.000000,0.020000,0.006286
0.006,0.000000,0.020000,0.006286
0.007,0.000000,0.020000,0.015918
0.008,0.000000,0.020000,0.015918
0.009,0.000000,0.020000,0.017343
0.010,0.000000,0.020000,0.017343
0.011,0.000000,0.020000,0.016078
0.012,0.000000,0.020000,0.016078
0.013,0.000000,0.020000,0.014702
0.014,0.000000,0.020000,0.014702
0.015,0.000000,0.020000,0.013356
0.016,0.000000,0.020000,0.013356
0.017,0.000000,0.020000,0.013132
0.018,0.000000,0.020000,0.013132
0.019,0.000000,0.020000,0.013151
0.020,0.000000,0.020000,0.013151
0.021,0.000000,0.020000,0.013838
0.022,0.000000,0.020000,0.013838
0.023,0.000000,0.020000,0.014181
0.024,0.000000,0.020000,0.014181
0.025,0.000000,0.020000,0.014246
0.026,0.000000,0.020000,0.014246
0.027,0.000000,0.020000,0.014192
0.028,0.000000,0.020000,0.014192
0.029,0.000000,0.020000,0.014355
0.030,0.000000,0.020000,0.014355
0.031,0.000000,0.020000,0.014998
0.032,0.000000,0.020000,0.014998
0.033,0.000000,0.020000,0.014142
0.034,0.000000,0.020000,0.014142
0.035,0.000000,0.020000,0.014821
0.036,0.000000,0.020000,0.014821
0.037,0.000000,0.020000,0.015402
0.038,0.000000,0.020000,0.015402
0.039,0.000000,0.020000,0.015619
0.040,0.000000,0.020000,0.015619
0.041,0.000000,0.020000,0.015492
0.042,0.000000,0.020000,0.015492
0.043,0.000000,0.020000,0.015994
0.044,0.000000,0.020000,0.015994
0.045,0.000000,0.020000,0.016471
0.046,0.000000,0.020000,0.016471
0.047,0.000000,0.020000,0.016807
0.048,0.000000,0.020000,0.016807
0.049,0.000000,0.020000,0.016314
0.050,0.000000,0.020000,0.016314
0.051,0.000000,0.020000,0.016747
0.052,0.000000,0.020000,0.016747
0.053,0.000000,0.020000,0.017022
0.054,0.000000,0.020000,0.017022
0.055,0.000000,0.020000,0.017530
0.056,0.000000,0.020000,0.017530
0.057,0.000000,0.020000,0.017304
0.058,0.000000,0.020000,0.017304
0.059,0.000000,0.020000,0.017466
0.060,0.000000,0.020000,0.017466
0.061,0.000000,0.020000,0.017700
0.062,0.000000,0.020000,0.017700
0.063,0.000000,0.020000,0.017329
0.064,0.051622,0.020000,0.017329
0.065,0.051622,0.020000,0.011682
0.066,0.051622,0.020000,0.011682
0.067,0.051622,0.020000,0.012491
0.068,0.051622,0.020000,0.012491
0.069,0.051622,0.020000,0.013214
0.070,0.051622,0.020000,0.013214
0.071,0.051622,0.020000,0.013060
0.072,0.051622,0.020000,0.013060
0.073,0.051622,0.020000,0.012743
0.074,0.051622,0.020000,0.012743
0.075,0.051622,0.020000,0.013247
0.076,0.051622,0.020000,0.013247
0.077,0.051622,0.020000,0.013750
0.078,0.051622,0.020000,0.013750
0.079,0.051622,0.020000,0.015231
0.080,0.051622,0.020000,0.015231
0.081,0.051622,0.020000,0.015554
0.082,0.051622,0.020000,0.015554
0.083,0.051622,0.020000,0.016769
0.084,0.051622,0.020000,0.016769
0.085,0.051622,0.020000,0.017887
0.086,0.051622,0.020000,0.017887
0.087,0.051622,0.020000,0.019071
0.088,0.051622,0.020000,0.019071
0.089,0.051622,0.020000,0.020524
0.090,0.051622,0.020000,0.020524
0.091,0.051622,0.020000,0.021785
0.092,0.051622,0.020000,0.021785
0.093,0.051622,0.020000,0.023055
0.094,0.051622,0.020000,0.023055
0.095,0.051622,0.020000,0.024868
0.096,0.051622,0.020000,0.024868
0.097,0.051622,0.020000,0.026545
0.098,0.051622,0.020000,0.026545
0.099,0.051622,0.020000,0.027923
0.100,0.245600,0.020000,0.027923
0.101,0.245600,0.020000,0.007887
0.102,0.633554,0.020000,0.007887
0.103,0.633554,0.020000,0.007211
0.104,1.021509,0.020000,0.007211
0.105,1.021509,0.020000,0.008863
0.106,1.409464,0.020000,0.008863
0.107,1.409464,0.020000,0.010057
0.108,1.748924,0.020000,0.010057
0.109,1.748924,0.020000,0.011010
0.110,1.748924,0.020000,0.011010
0.111,1.748924,0.020000,0.011452
0.112,1.748924,0.020000,0.011452
0.113,1.748924,0.020000,0.011298
0.114,1.748924,0.020000,0.011298
0.115,1.748924,0.020000,0.011037
0.116,1.748924,0.020000,0.011037
0.117,1.748924,0.020000,0.012283
0.118,1.748924,0.020000,0.012283
0.119,1.748924,0.020000,0.012807
0.120,1.748924,0.020000,0.012807
0.121,1.748924,0.020000,0.015183
0.122,1.748924,0.020000,0.015183
0.123,1.748924,0.020000,0.015285
0.124,1.748924,0.020000,0.015285
0.125,1.748924,0.020000,0.016609
0.126,1.748924,0.020000,0.016609
0.127,1.748924,0.020000,0.017182
0.128,1.804867,0.020000,0.017182
0.129,1.804867,0.020000,0.018257
0.130,2.252407,0.020000,0.018257
0.131,2.252407,0.020000,0.012157
0.132,2.644005,0.020000,0.012157
0.133,2.644005,0.020000,0.013072
0.134,2.644005,0.020000,0.013072
0.135,2.644005,0.020000,0.013063
0.136,2.644005,0.020000,0.013063
0.137,2.644005,0.020000,0.013091
0.138,2.644005,0.020000,0.013091
0.139,2.644005,0.020000,0.013225
0.140,2.644005,0.020000,0.013225
0.141,2.644005,0.020000,0.013609
0.142,2.644005,0.020000,0.013609
0.143,2.644005,0.020000,0.013518
0.144,2.644005,0.020000,0.013518
0.145,2.644005,0.020000,0.014322
0.146,2.644005,0.020000,0.014322
0.147,2.644005,0.020000,0.015148
0.148,2.644005,0.020000,0.015148
0.149,2.644005,0.020000,0.016517
0.150,2.644005,0.020000,0.016517
0.151,2.644005,0.020000,0.016812
0.152,2.644005,0.020000,0.016812
0.153,2.644005,0.020000,0.017477
0.154,2.644005,0.020000,0.017477
0.155,2.644005,0.020000,0.017947
0.156,2.855167,0.020000,0.017947
0.157,2.855167,0.020000,0.013680
0.158,3.277493,0.020000,0.013680
0.159,3.277493,0.020000,0.014421
0.160,3.330283,0.020000,0.014421
0.161,3.330283,0.020000,0.014505
0.162,3.330283,0.020000,0.014505
0.163,3.330283,0.020000,0.013454
0.164,3.330283,0.020000,0.013454
0.165,3.330283,0.020000,0.012795
0.166,3.330283,0.020000,0.012795
0.167,3.330283,0.020000,0.013063
0.168,3.330283,0.020000,0.013063
0.169,3.330283,0.020000,0.013404
0.170,3.330283,0.020000,0.013404
0.171,3.330283,0.020000,0.013736
0.172,3.330283,0.020000,0.013736
0.173,3.330283,0.020000,0.013807
0.174,3.330283,0.020000,0.013807
0.175,3.330283,0.020000,0.014151
0.176,3.622422,0.020000,0.014151
0.177,3.622422,0.020000,0.013923
0.178,3.622422,0.020000,0.013923
0.179,3.622422,0.020000,0.013751
0.180,3.622422,0.020000,0.013751
0.181,3.622422,0.020000,0.013041
0.182,3.622422,0.020000,0.013041
0.183,3.622422,0.020000,0.013471
0.184,3.622422,0.020000,0.013471
0.185,3.622422,0.020000,0.013207
0.187,3.622422,0.020000,0.013207
0.188,3.622422,0.020000,0.014088
0.189,3.622422,0.020000,0.014088
0.190,3.622422,0.020000,0.014838
0.191,3.622422,0.020000,0.014838
0.192,3.622422,0.020000,0.016333
0.193,3.732343,0.020000,0.016333
0.194,3.732343,0.020000,0.013130
0.195,4.117064,0.020000,0.013130
0.196,4.117064,0.020000,0.014231
0.197,4.117064,0.020000,0.014231
0.198,4.117064,0.020000,0.014231
0.199,4.117064,0.020000,0.015165
0.200,4.117064,0.020000,0.015165
0.201,4.117064,0.020000,0.014799
0.202,4.117064,0.020000,0.014799
0.203,4.117064,0.020000,0.014799
0.204,4.117064,0.020000,0.013742
0.205,4.117064,0.020000,0.013742
0.206,4.117064,0.020000,0.014544
0.207,4.117064,0.020000,0.014544
0.208,4.117064,0.020000,0.015257
0.209,4.117064,0.020000,0.015257
0.210,4.117064,0.020000,0.016322
0.211,4.220309,0.020000,0.016322
0.212,4.220309,0.020000,0.014961
0.213,4.530044,0.020000,0.014961
0.214,4.530044,0.020000,0.015192
0.215,4.530044,0.020000,0.015192
0.216,4.530044,0.020000,0.014160
0.217,4.530044,0.020000,0.014160
0.218,4.530044,0.020000,0.013477
0.219,4.530044,0.020000,0.013477
0.220,4.530044,0.020000,0.012202
0.221,4.530044,0.020000,0.012202
0.222,4.530044,0.020000,0.013467
0.223,4.530044,0.020000,0.013467
0.224,4.530044,0.020000,0.014155
0.225,4.578538,0.020000,0.014155
0.226,4.578538,0.020000,0.014782
0.227,4.821010,0.020000,0.014782
0.228,4.821010,0.020000,0.013507
0.229,4.821010,0.020000,0.013507
0.230,4.821010,0.020000,0.013706
0.231,4.821010,0.020000,0.013706
0.232,4.821010,0.020000,0.012833
0.233,4.821010,0.020000,0.012833
0.234,4.821010,0.020000,0.012926
0.235,4.821010,0.020000,0.012926
0.236,4.821010,0.020000,0.013021
0.237,4.821010,0.020000,0.013021
0.238,4.821010,0.020000,0.014480
0.239,4.932895,0.020000,0.014480
0.240,4.932895,0.020000,0.014512
0.241,5.156665,0.020000,0.014512
0.242,5.156665,0.020000,0.014508
0.243,5.156665,0.020000,0.014508
0.244,5.156665,0.020000,0.015892
0.245,5.156665,0.020000,0.015892
0.246,5.156665,0.020000,0.015582
0.247,5.156665,0.020000,0.015582
0.248,5.156665,0.020000,0.014944
0.249,5.156665,0.020000,0.014944
0.250,5.156665,0.020000,0.016205
0.251,5.156665,0.020000,0.016205
0.252,5.156665,0.020000,0.016977
0.253,5.156665,0.020000,0.016977
0.254,5.526199,0.020000,0.016977
0.255,5.631781,0.020000,0.016977
0.256,5.631781,0.020000,0.016977
0.257,5.631781,0.020000,0.016977
0.258,5.631781,0.020000,0.016977
0.259,5.631781,0.020000,0.016977
0.260,5.826540,0.020000,0.016977
0.261,5.826540,0.020000,0.016977
0.262,5.826540,0.020000,0.016977
0.263,5.826540,0.020000,0.016977
0.264,5.826540,0.020000,0.016977
0.265,5.936460,0.020000,0.016977
0.266,6.266222,0.020000,0.016977
0.267,6.266222,0.020000,0.016977
0.268,6.266222,0.020000,0.016977
0.269,6.266222,0.020000,0.016977
0.270,6.266222,0.020000,0.016977
0.271,6.266222,0.020000,0.016977
0.272,6.575956,0.020000,0.016977
0.273,6.575956,0.020000,0.016977
0.274,6.575956,0.020000,0.016977
0.275,6.575956,0.020000,0.016977
0.276,6.575956,0.020000,0.016977
0.277,6.818428,0.020000,0.016977
0.278,6.818428,0.020000,0.016977
0.279,6.818428,0.020000,0.016977
0.280,6.818428,0.020000,0.016977
