Time_us,Roll,Pitch,GyroX,GyroY,GyroZ,T1,T2,T3,PhiX,PhiY,PhiDX,PhiDY,motor_vel_1,motor_vel_2,motor_vel_3,motor_pos_1,motor_pos_2,motor_pos_3
170145051,0.0085,0.0830,-0.0009,-0.0092,-0.0365,0.0345,0.0500,-0.2000,-0.0000,-0.0001,-0.0009,-0.0092,0.0000,0.0000,0.0000,63.3760,-30.1703,-71.3753
170148364,0.0085,0.0831,0.0000,-0.0092,-0.0365,0.0344,0.0500,-0.2000,-0.0000,-0.0001,0.0000,-0.0092,0.0000,0.0000,0.0000,63.3760,-30.1703,-71.3753
170153364,0.0084,0.0831,0.0003,-0.0214,-0.0459,0.0345,0.0500,-0.2000,-0.0000,-0.0002,0.0003,-0.0214,0.0000,0.0000,0.0000,63.3760,-30.1703,-71.3753
170158364,0.0085,0.0830,0.0024,-0.0324,-0.0328,0.0351,0.0500,-0.2000,0.0000,-0.0004,0.0024,-0.0324,0.0000,0.0000,0.0000,63.3760,-30.1703,-71.3753
170163365,0.0084,0.0827,0.0122,-0.0308,-0.0334,0.0373,-0.0200,-0.2000,0.0001,-0.0005,0.0122,-0.0308,0.0000,0.0000,0.0000,63.3760,-30.1703,-71.3753
170168365,0.0085,0.0823,0.0079,-0.0315,-0.0520,0.0366,-0.0200,-0.2000,0.0001,-0.0007,0.0070,-0.0329,0.0000,0.0000,-0.0976,63.3760,-30.1703,-71.3773
170173365,0.0087,0.0821,-0.0110,-0.0431,-0.0777,0.0323,0.2000,-0.2000,0.0000,-0.0012,-0.0203,-0.0987,0.8860,2.1630,-1.5623,63.3946,-30.1203,-71.4096
170178365,0.0087,0.0818,-0.0452,-0.0608,-0.1003,0.0220,0.2000,-0.2000,-0.0004,-0.0019,-0.0818,-0.1386,1.7166,2.1630,-3.0510,63.4172,-30.1116,-71.4517
170183365,0.0085,0.0815,-0.0864,-0.0791,-0.1134,0.0111,0.2000,-0.2000,-0.0010,-0.0027,-0.1224,-0.1750,1.7166,2.7959,-3.6290,63.4275,-30.0854,-71.4748
170188365,0.0081,0.0811,-0.1264,-0.0977,-0.0960,-0.0500,0.2000,-0.2000,-0.0019,-0.0039,-0.1850,-0.2308,1.7166,2.7959,-6.1308,63.4344,-30.0742,-71.5558
170193365,0.0074,0.0804,-0.1530,-0.1518,-0.0676,-0.0500,0.2000,-0.2000,-0.0029,-0.0055,-0.1996,-0.3123,1.7166,2.7959,-7.9817,63.4447,-30.0574,-71.6275
170198364,0.0066,0.0796,-0.1720,-0.2034,-0.0554,-0.0500,0.2000,-0.2000,-0.0041,-0.0075,-0.2378,-0.4039,1.7166,3.0710,-10.3900,63.4516,-30.0403,-71.7308
170203364,0.0058,0.0784,-0.1793,-0.2654,-0.0652,-0.0500,0.2000,-0.1845,-0.0054,-0.0099,-0.2619,-0.4949,1.7166,3.1226,-12.2895,63.4619,-30.0208,-71.8141
170208365,0.0051,0.0762,-0.1613,-0.4502,-0.2008,0.0200,0.1652,-0.1325,-0.0067,-0.0136,-0.2566,-0.7239,1.4492,3.8971,-14.4749,63.4630,-29.9905,-71.9376
170213364,0.0045,0.0737,-0.1371,-0.5437,-0.2048,0.0200,0.1312,-0.1024,-0.0079,-0.0179,-0.2273,-0.8584,0.2958,5.5528,-15.5688,63.4468,-29.9296,-72.0194
170218364,0.0039,0.0706,-0.1136,-0.6448,-0.1916,-0.0159,0.0932,-0.0700,-0.0088,-0.0228,-0.1845,-0.9964,-1.3290,6.6239,-16.9775,63.4123,-29.8843,-72.1453
170223365,0.0035,0.0670,-0.0877,-0.7431,-0.1907,-0.0098,0.0535,-0.0364,-0.0095,-0.0285,-0.1454,-1.1368,-1.3290,8.7519,-17.6646,63.4044,-29.7960,-72.2287
170228365,0.0033,0.0631,-0.0840,-0.8051,-0.2170,-0.0095,0.0247,-0.0069,-0.0102,-0.0347,-0.1403,-1.2303,-1.3290,9.8786,-18.6482,63.3991,-29.7364,-72.3581
170233365,0.0031,0.0590,-0.0785,-0.8402,-0.2271,-0.0075,-0.0002,0.0500,-0.0108,-0.0412,-0.1181,-1.2991,-1.6540,11.6170,-19.1640,63.3845,-29.6370,-72.4442
170238365,0.0027,0.0547,-0.0895,-0.8787,-0.1828,0.0019,-0.0500,0.0500,-0.0105,-0.0465,0.0556,-1.0641,-2.0254,12.4204,-19.5246,63.3691,-29.5725,-72.5676
170243365,0.0024,0.0503,-0.0898,-0.9093,-0.1137,-0.0090,-0.0500,0.0500,-0.0108,-0.0510,-0.0555,-0.9092,-2.0254,13.3286,-19.5825,63.3570,-29.4764,-72.6472
170248364,0.0020,0.0457,-0.0910,-0.9572,-0.0927,-0.0111,-0.0500,0.0500,-0.0111,-0.0558,-0.0566,-0.9572,-2.0254,13.5784,-19.1551,63.3489,-29.4175,-72.7556
170253364,0.0016,0.0403,-0.0919,-1.1087,-0.1144,-0.0128,-0.0500,-0.0200,-0.0114,-0.0614,-0.0602,-1.1087,-1.8638,13.2619,-18.6108,63.3401,-29.3431,-72.8201
170258365,0.0012,0.0346,-0.0797,-1.1646,-0.1159,-0.0115,0.0200,-0.0200,-0.0116,-0.0672,-0.0498,-1.1646,-1.7561,12.4343,-16.9525,63.3351,-29.3086,-72.8942
170263364,0.0011,0.0285,-0.0742,-1.1900,-0.1134,-0.0214,0.0200,0.1886,-0.0126,-0.0743,-0.1853,-1.4295,-1.7561,10.9490,-16.0700,63.3246,-29.2684,-72.9426
170268365,0.0007,0.0224,-0.0843,-1.1732,-0.1122,-0.0176,-0.1908,0.2000,-0.0130,-0.0820,-0.0938,-1.5394,-1.7561,10.0195,-14.5412,63.3176,-29.2442,-73.0035
170273364,0.0004,0.0166,-0.0761,-1.1222,-0.1107,-0.0174,-0.1975,0.2000,-0.0135,-0.0893,-0.0913,-1.4477,-1.7561,8.3155,-13.5190,63.3070,-29.2247,-73.0389
170278364,-0.0000,0.0110,-0.0788,-1.0647,-0.1363,-0.0190,-0.2000,0.2000,-0.0139,-0.0961,-0.0888,-1.3579,-1.9251,7.3459,-12.3108,63.2966,-29.2120,-73.0923
170283364,-0.0004,0.0057,-0.0712,-1.0058,-0.1525,-0.0181,-0.2000,0.2000,-0.0143,-0.1024,-0.0781,-1.2751,-2.2632,6.3763,-11.6815,63.2764,-29.1918,-73.1286
170288365,-0.0007,0.0007,-0.0550,-0.9484,-0.1498,-0.0144,-0.2000,0.2000,-0.0146,-0.1084,-0.0509,-1.1906,-2.2632,6.0966,-10.1445,63.2674,-29.1720,-73.1627
170293365,-0.0010,-0.0041,-0.0449,-0.9120,-0.1550,-0.0124,-0.2000,0.2000,-0.0147,-0.1139,-0.0334,-1.1076,-2.6864,4.5305,-8.5822,63.2443,-29.1716,-73.1690
170298364,-0.0013,-0.0089,-0.0492,-0.9096,-0.0713,-0.0149,-0.2000,0.2000,-0.0149,-0.1192,-0.0246,-1.0577,-2.6864,3.6915,-6.2386,63.2336,-29.1720,-73.1668
170303365,-0.0014,-0.0130,-0.0318,-0.8610,0.0042,-0.0118,-0.2000,0.2000,-0.0149,-0.1240,-0.0075,-0.9565,-2.9538,1.6256,-4.7739,63.2119,-29.1966,-73.1594
170308364,-0.0014,-0.0171,0.0067,-0.7581,-0.0123,-0.0016,-0.2000,0.2000,-0.0147,-0.1280,0.0373,-0.7911,-2.9538,-0.1033,-2.3130,63.2001,-29.2274,-73.1318
170313364,-0.0015,-0.0205,-0.0174,-0.6344,-0.0469,-0.0083,-0.2000,0.2000,-0.0147,-0.1310,0.0049,-0.6074,-2.9538,-2.6150,-0.7984,63.1824,-29.2853,-73.1079
170318364,-0.0015,-0.0232,-0.0101,-0.4936,-0.0392,-0.0054,-0.1779,0.1848,-0.0146,-0.1330,0.0259,-0.3917,-3.3968,-4.7744,2.0607,63.1613,-29.3431,-73.0466
170323364,-0.0015,-0.0254,0.0336,-0.3916,0.0237,0.0500,-0.1644,0.1591,-0.0143,-0.1340,0.0608,-0.2152,-3.3968,-7.7925,4.0369,63.1409,-29.4408,-72.9947
170328365,-0.0012,-0.0272,0.0727,-0.3387,0.0753,0.0500,-0.1580,0.1447,-0.0140,-0.1345,0.0480,-0.0863,-3.3968,-9.9280,7.0031,63.1274,-29.5191,-72.9029
170333364,-0.0008,-0.0289,0.1167,-0.3247,-0.0038,0.0500,-0.1611,0.1380,-0.0136,-0.1345,0.0805,-0.0022,-2.5611,-12.9544,8.6723,63.1260,-29.6486,-72.8383
170338364,-0.0001,-0.0306,0.1775,-0.3128,-0.0707,0.0500,-0.1688,0.1285,-0.0129,-0.1341,0.1492,0.0757,-2.0969,-14.6939,11.3530,63.1259,-29.7387,-72.7243
170343364,0.0011,-0.0321,0.2166,-0.2434,-0.0010,-0.0200,-0.1631,0.1067,-0.0119,-0.1331,0.1872,0.2022,-1.5862,-16.6757,13.2029,63.1251,-29.8721,-72.6383
170348364,0.0023,-0.0327,0.2224,-0.0757,0.0591,-0.0200,-0.1300,0.0649,-0.0109,-0.1310,0.2048,0.4173,-0.1733,-17.5669,15.4932,63.1493,-29.9579,-72.5069
170353364,0.0032,-0.0331,0.1704,-0.0134,-0.0530,0.0542,-0.1088,0.0567,-0.0102,-0.1284,0.1434,0.5138,0.5538,-18.7028,16.6498,63.1663,-30.0891,-72.4197
170358365,0.0041,-0.0331,0.1539,-0.0015,-0.1446,0.0558,-0.1034,0.0532,-0.0095,-0.1257,0.1354,0.5553,0.5538,-19.1934,18.1494,63.1686,-30.1744,-72.2852
170363364,0.0049,-0.0330,0.1158,0.0156,-0.1452,0.0490,-0.0948,0.0514,-0.0091,-0.1227,0.0927,0.5913,0.8746,-19.7623,18.8475,63.1784,-30.3024,-72.1974
170368365,0.0054,-0.0331,0.0895,0.0382,-0.1305,0.0425,-0.0861,0.0486,-0.0088,-0.1195,0.0452,0.6300,2.3721,-20.0139,19.6758,63.2151,-30.3869,-72.0652
170373364,0.0058,-0.0330,0.0980,0.0715,-0.1293,0.0464,-0.0797,0.0382,-0.0086,-0.1162,0.0545,0.6754,2.3721,-20.3745,20.1270,63.2294,-30.5152,-71.9765
170378364,0.0064,-0.0324,0.1057,0.1683,-0.1208,0.0505,-0.0582,0.0123,-0.0082,-0.1123,0.0615,0.7814,2.5602,-20.5269,20.5969,63.2426,-30.6000,-71.8448
170383365,0.0070,-0.0315,0.0947,0.2227,-0.1547,0.0503,-0.0421,-0.0500,-0.0080,-0.1081,0.0468,0.8413,2.7953,-20.6872,20.8041,63.2640,-30.7267,-71.7578
170388364,0.0074,-0.0304,0.0394,0.2251,-0.1461,0.0245,-0.0455,-0.0500,-0.0089,-0.1054,-0.1835,0.5344,2.7953,-20.6872,21.0653,63.2752,-30.8094,-71.6268
170393364,0.0075,-0.0291,-0.0321,0.2636,-0.1861,0.0066,-0.0232,-0.0500,-0.0102,-0.1025,-0.2630,0.5712,3.3024,-20.5744,21.0653,63.3048,-30.9312,-71.5426
170398365,0.0069,-0.0278,-0.1329,0.3073,-0.2411,-0.0500,0.0500,-0.0500,-0.0121,-0.0995,-0.3626,0.6125,3.3024,-20.4227,20.6354,63.3180,-31.0103,-71.4258
170403365,0.0062,-0.0263,-0.1674,0.3592,-0.2130,-0.0500,0.0500,0.0200,-0.0129,-0.0977,-0.1673,0.3592,3.8410,-20.1080,19.9754,63.3505,-31.1262,-71.3576
170408364,0.0054,-0.0245,-0.1833,0.4071,-0.1339,-0.0500,0.0500,0.0200,-0.0138,-0.0956,-0.1832,0.4071,3.8410,-19.9961,18.5802,63.3659,-31.2042,-71.2688
170413364,0.0044,-0.0223,-0.2095,0.4804,-0.1012,-0.0500,0.0500,-0.0313,-0.0141,-0.0919,-0.0605,0.7423,3.1910,-19.0040,17.5910,63.3747,-31.3019,-71.2161
170418365,0.0033,-0.0201,-0.2355,0.5040,-0.2005,0.0200,-0.0200,-0.0353,-0.0146,-0.0882,-0.1011,0.7397,2.5875,-18.2548,15.8291,63.3742,-31.3616,-71.1509
170423364,0.0019,-0.0175,-0.2447,0.5516,-0.2943,0.0200,-0.0200,-0.0478,-0.0152,-0.0844,-0.1208,0.7686,1.9375,-16.5812,14.5615,63.3748,-31.4329,-71.1153
170428364,0.0006,-0.0146,-0.2208,0.5974,-0.2307,-0.0537,0.1385,-0.0760,-0.0166,-0.0793,-0.2683,1.0187,1.5661,-15.3208,12.9284,63.3744,-31.4714,-71.0645
170433364,-0.0004,-0.0116,-0.1811,0.6377,-0.1202,-0.0474,0.1495,-0.0975,-0.0176,-0.0742,-0.2043,1.0137,0.7026,-13.2542,11.9556,63.3651,-31.5163,-71.0347
170438364,-0.0012,-0.0084,-0.1335,0.6658,-0.0908,-0.0383,0.1583,-0.1166,-0.0183,-0.0693,-0.1454,0.9933,-0.6462,-12.3325,9.6308,63.3377,-31.5495,-71.0163
170443364,-0.0019,-0.0049,-0.0983,0.6936,-0.1409,-0.0311,0.1715,-0.1349,-0.0188,-0.0643,-0.1062,0.9857,-0.6462,-10.9041,8.6838,63.3339,-31.5900,-70.9987
170448364,-0.0023,-0.0015,-0.1252,0.6863,-0.1834,-0.0398,0.1835,-0.1367,-0.0196,-0.0597,-0.1440,0.9263,-0.6462,-9.7845,6.3104,63.3313,-31.6084,-71.0012
